Scaling equations	6.4547*x-6.1745	4.3504*x-4.1755	5.6665*x-5.4268	6.4825*x-6.1940	4.3471*x-4.1302	6.3983*x-6.2383	x	x
Timestamp	Analog channel 0 (RV.009 - 133148)	Analog channel 1 (RV.004 - 99871)	Analog channel 2 (RV.011 - 90471)	Analog channel 3 (RV.010 - 133149)	Analog channel 4 (RV.005 - 99875)	Analog channel 5 (RV.008 - 133147)	Analog channel 6	Analog channel 7
2020.08.26 04:42:18.328	0.960925	0.971771	0.963554	0.961911	0.963554	-0.000752	-0.000752	-0.000423
2020.08.26 04:42:18.578	0.958624	0.975715	0.950408	0.956324	0.958953	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:18.828	0.960925	0.977030	0.964540	0.960925	0.968484	-0.000095	-0.000423	-0.000752
2020.08.26 04:42:19.078	0.959939	0.979659	0.960925	0.958296	0.972428	-0.000423	-0.001081	-0.000423
2020.08.26 04:42:19.328	0.963554	0.980316	0.967170	0.961911	0.966184	-0.000095	-0.000423	-0.000423
2020.08.26 04:42:19.578	0.958953	0.967827	0.969470	0.961582	0.964869	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:19.828	0.961254	0.973086	0.958296	0.954680	0.963226	-0.000095	-0.000752	-0.001081
2020.08.26 04:42:20.078	0.958624	0.957310	0.946135	0.958624	0.960268	-0.000423	-0.000752	-0.000423
2020.08.26 04:42:20.328	0.962568	0.963226	0.955338	0.964869	0.960925	-0.000752	-0.000423	-0.000095
2020.08.26 04:42:20.578	0.959610	0.979988	0.942520	0.954023	0.953366	-0.000423	-0.000752	-0.000423
2020.08.26 04:42:20.828	0.960925	0.973743	0.958296	0.960268	0.956981	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:21.078	0.959939	0.968484	0.952380	0.958953	0.955995	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:21.328	0.960596	0.967498	0.957310	0.958624	0.960925	-0.000423	-0.000752	-0.000752
2020.08.26 04:42:21.578	0.959282	0.975715	0.964540	0.958296	0.959939	-0.000423	-0.000423	-0.000423
2020.08.26 04:42:21.828	0.962897	0.969142	0.970128	0.963883	0.961582	-0.000095	-0.000423	-0.000423
2020.08.26 04:42:22.078	0.960925	0.970456	0.948436	0.955009	0.960596	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:22.328	0.958296	0.970128	0.957310	0.958296	0.955338	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:22.578	0.959610	0.955666	0.966841	0.963226	0.956981	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:22.828	0.965198	0.975715	0.964869	0.962897	0.959282	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:23.078	0.957967	0.969799	0.971442	0.963226	0.947779	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:23.328	0.962568	0.975058	0.967170	0.962897	0.953037	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:23.578	0.956324	0.977687	0.956981	0.957967	0.955995	-0.000423	-0.000752	-0.000752
2020.08.26 04:42:23.828	0.958624	0.968156	0.960925	0.965526	0.961582	-0.000752	-0.000423	-0.000423
2020.08.26 04:42:24.078	0.959282	0.956324	0.958296	0.960596	0.967827	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:24.328	0.959282	0.966184	0.967827	0.963554	0.967498	-0.000423	-0.000423	-0.001081
2020.08.26 04:42:24.578	0.957310	0.967827	0.961911	0.961254	0.962568	-0.000423	-0.000423	-0.000423
2020.08.26 04:42:24.828	0.960268	0.977687	0.972100	0.962568	0.961911	-0.000423	-0.000752	-0.000423
2020.08.26 04:42:25.078	0.962240	0.979659	0.964212	0.962240	0.961582	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:25.328	0.959939	0.978016	0.971442	0.964869	0.959282	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:25.578	0.960925	0.971114	0.954680	0.957310	0.958296	-0.000752	-0.000423	-0.000423
2020.08.26 04:42:25.828	0.961254	0.963883	0.953694	0.960596	0.963226	-0.000423	-0.000752	-0.000752
2020.08.26 04:42:26.078	0.958624	0.975058	0.961254	0.960268	0.966184	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:26.328	0.963226	0.957967	0.965198	0.960596	0.978344	-0.000095	-0.000752	-0.000752
2020.08.26 04:42:26.578	0.960925	0.964540	0.961254	0.961254	0.954023	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:26.828	0.957638	0.968484	0.968156	0.964540	0.958296	-0.000423	-0.000752	-0.000095
2020.08.26 04:42:27.078	0.963883	0.976701	0.948107	0.955666	0.959282	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:27.328	0.959939	0.961911	0.965855	0.962897	0.957310	-0.000423	-0.000752	-0.000423
2020.08.26 04:42:27.578	0.956652	0.964869	0.967170	0.967170	0.955666	-0.000752	-0.000752	-0.000423
2020.08.26 04:42:27.828	0.959939	0.961582	0.960925	0.964540	0.951065	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:28.078	0.958296	0.971771	0.967827	0.959939	0.955338	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:28.328	0.961582	0.980316	0.956324	0.958296	0.957310	-0.001081	-0.000752	-0.000752
2020.08.26 04:42:28.578	0.959939	0.973086	0.959939	0.961582	0.966841	-0.000752	-0.000752	-0.000423
2020.08.26 04:42:28.828	0.957638	0.964212	0.965855	0.962240	0.978016	-0.000752	-0.000423	-0.000423
2020.08.26 04:42:29.078	0.958296	0.966512	0.963226	0.957967	0.969142	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:29.328	0.962568	0.964540	0.966512	0.959610	0.966184	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:29.578	0.961911	0.972757	0.969470	0.964540	0.964869	-0.001081	-0.000423	-0.000752
2020.08.26 04:42:29.828	0.964212	0.976701	0.967170	0.963554	0.965526	-0.000752	-0.001081	-0.000752
2020.08.26 04:42:30.078	0.961582	0.977687	0.968484	0.959282	0.964212	-0.000423	-0.000752	-0.001081
2020.08.26 04:42:30.328	0.959282	0.975058	0.969142	0.961911	0.956652	-0.001081	-0.000423	-0.000423
2020.08.26 04:42:30.578	0.966841	0.972757	0.945478	0.958953	0.965855	-0.001081	-0.000752	-0.000752
2020.08.26 04:42:30.828	0.963554	0.966512	0.946464	0.961911	0.960596	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:31.078	0.963226	0.960596	0.962897	0.963554	0.956652	-0.000423	-0.000423	-0.000095
2020.08.26 04:42:31.328	0.963883	0.970456	0.955009	0.963883	0.966184	-0.000752	-0.000423	-0.000752
2020.08.26 04:42:31.578	0.958624	0.983274	0.949422	0.953037	0.954352	-0.000423	-0.000752	-0.001081
2020.08.26 04:42:31.828	0.960268	0.978016	0.956981	0.957967	0.962897	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:32.078	0.962897	0.980974	0.952708	0.956652	0.967827	-0.001081	-0.000423	-0.000752
2020.08.26 04:42:32.328	0.959282	0.974072	0.962897	0.961582	0.974400	-0.000752	-0.000752	-0.000752
2020.08.26 04:42:32.578	0.960268	0.977030	0.958296	0.960596	0.960268	-0.000752	-0.000752	-0.001081
2020.08.26 04:42:32.828	0.961254	0.973743	0.958624	0.960268	0.955009	-0.001081	-0.000423	-0.000752
2020.08.26 04:42:33.078	0.961254	0.977687	0.959610	0.956324	0.962897	-0.000423	-0.000423	-0.000752
2020.08.26 04:42:33.328	0.961582	0.971771	0.956652	0.956652	0.952708	-0.000752	-0.000423	-0.000423
2020.08.26 04:42:33.578	0.957967	0.975058	0.961582	0.959282	0.953037	-0.000423	-0.000752	-0.000423
2020.08.26 04:42:33.828	0.958296	0.968484	0.965198	0.960268	0.958953	-0.000752	-0.000423	-0.001081
