Scaling equations	6.4547*x-6.1745	4.3504*x-4.1755	5.6665*x-5.4268	6.4825*x-6.1940	4.3471*x-4.1302	6.3983*x-6.2383	x	x
Timestamp	Analog channel 0 (RV.009 - 133148)	Analog channel 1 (RV.004 - 99871)	Analog channel 2 (RV.011 - 90471)	Analog channel 3 (RV.010 - 133149)	Analog channel 4 (RV.005 - 99875)	Analog channel 5 (RV.008 - 133147)	Analog channel 6	Analog channel 7
2020.08.26 12:42:18.078	0.965855	0.971442	0.944163	0.960268	0.958624	0.000891	0.000891	0.001220
2020.08.26 12:42:18.328	0.969142	0.973086	0.958296	0.968813	0.963554	0.001220	0.001220	0.001549
2020.08.26 12:42:18.578	0.964212	0.967827	0.960596	0.968156	0.965526	0.000891	0.001549	0.001220
2020.08.26 12:42:18.828	0.964212	0.967170	0.963554	0.965855	0.958296	0.001220	0.001220	0.000891
2020.08.26 12:42:19.078	0.958953	0.975058	0.959610	0.962240	0.954023	0.001220	0.001877	0.001220
2020.08.26 12:42:19.328	0.963226	0.982617	0.971442	0.967170	0.957638	0.001220	0.001220	0.000891
2020.08.26 12:42:19.578	0.967170	0.968484	0.953037	0.964212	0.964869	0.001549	0.001220	0.001549
2020.08.26 12:42:19.828	0.962240	0.973743	0.971114	0.962568	0.964212	0.001549	0.000891	0.001220
2020.08.26 12:42:20.078	0.963226	0.969799	0.977358	0.973414	0.961582	0.001549	0.001549	0.000891
2020.08.26 12:42:20.328	0.964869	0.960596	0.965198	0.963883	0.955338	0.001549	0.001220	0.001220
2020.08.26 12:42:20.578	0.960268	0.977358	0.971771	0.963883	0.956652	0.001549	0.001220	0.001220
2020.08.26 12:42:20.828	0.966184	0.970128	0.964869	0.966841	0.960268	0.001220	0.001220	0.001220
2020.08.26 12:42:21.078	0.965855	0.975715	0.967170	0.963554	0.955995	0.001220	0.001220	0.001549
2020.08.26 12:42:21.328	0.970128	0.953366	0.974072	0.966512	0.970785	0.001877	0.000891	0.001220
2020.08.26 12:42:21.578	0.959610	0.971442	0.965526	0.964212	0.962240	0.000891	0.000891	0.001220
2020.08.26 12:42:21.828	0.959939	0.975386	0.969799	0.962897	0.957967	0.001549	0.001549	0.000891
2020.08.26 12:42:22.078	0.970785	0.963554	0.961582	0.963883	0.968484	0.000891	0.001220	0.001877
2020.08.26 12:42:22.328	0.962568	0.973086	0.958624	0.964869	0.959282	0.000891	0.001220	0.001220
2020.08.26 12:42:22.578	0.960925	0.972100	0.965855	0.966512	0.961254	0.000891	0.001549	0.001220
2020.08.26 12:42:22.828	0.961911	0.963883	0.970785	0.968813	0.964212	0.001549	0.001220	0.000891
2020.08.26 12:42:23.078	0.964212	0.976701	0.960596	0.966512	0.962240	0.000891	0.000891	0.001549
2020.08.26 12:42:23.328	0.964212	0.972100	0.955338	0.963226	0.964540	0.000891	0.001220	0.001220
2020.08.26 12:42:23.578	0.959282	0.964869	0.969142	0.966184	0.961582	0.001220	0.001220	0.001220
2020.08.26 12:42:23.828	0.963883	0.960596	0.968156	0.967170	0.971771	0.001220	0.000891	0.000891
2020.08.26 12:42:24.078	0.962897	0.979988	0.965198	0.965198	0.953366	0.001220	0.001220	0.001220
2020.08.26 12:42:24.328	0.959939	0.964540	0.973743	0.966512	0.966184	0.001220	0.001220	0.001220
2020.08.26 12:42:24.578	0.969799	0.979330	0.947779	0.961582	0.968156	0.001220	0.001220	0.000891
2020.08.26 12:42:24.828	0.967170	0.965526	0.963226	0.966512	0.973086	0.001220	0.001549	0.001549
2020.08.26 12:42:25.078	0.965198	0.960925	0.973086	0.967498	0.972100	0.001549	0.001220	0.001220
2020.08.26 12:42:25.328	0.958953	0.966184	0.956652	0.963554	0.962568	0.001220	0.001220	0.001220
2020.08.26 12:42:25.578	0.968156	0.979330	0.960925	0.963883	0.965855	0.001220	0.000891	0.000563
2020.08.26 12:42:25.828	0.965198	0.978673	0.958296	0.959610	0.962897	0.001220	0.000891	0.001220
2020.08.26 12:42:26.078	0.965198	0.979988	0.953694	0.959939	0.967170	0.001220	0.000891	0.000891
2020.08.26 12:42:26.328	0.964540	0.967498	0.956324	0.965855	0.972757	0.001220	0.001220	0.001220
2020.08.26 12:42:26.578	0.964212	0.982288	0.970128	0.963883	0.959282	0.001220	0.001220	0.000891
2020.08.26 12:42:26.828	0.960596	0.975386	0.969799	0.964869	0.957967	0.001549	0.001549	0.001549
2020.08.26 12:42:27.078	0.966841	0.973414	0.963226	0.967498	0.966184	0.001877	0.001220	0.000891
2020.08.26 12:42:27.328	0.963226	0.970456	0.960268	0.964540	0.955666	0.000891	0.001220	0.001220
2020.08.26 12:42:27.578	0.963883	0.986232	0.964212	0.967170	0.952708	0.001220	0.001549	0.001220
2020.08.26 12:42:27.828	0.962568	0.962568	0.970128	0.966841	0.963226	0.001220	0.001549	0.001549
2020.08.26 12:42:28.078	0.960596	0.968813	0.955666	0.962240	0.957967	0.001220	0.001877	0.000891
2020.08.26 12:42:28.328	0.966184	0.975386	0.959610	0.966184	0.957967	0.001220	0.000891	0.001220
2020.08.26 12:42:28.578	0.960268	0.951722	0.974400	0.966184	0.969142	0.001220	0.001220	0.001549
2020.08.26 12:42:28.828	0.966841	0.974072	0.964212	0.962897	0.960268	0.001549	0.001220	0.001220
2020.08.26 12:42:29.078	0.961254	0.978344	0.972100	0.964540	0.960268	0.000891	0.001549	0.001220
2020.08.26 12:42:29.328	0.961911	0.980316	0.970456	0.966184	0.966841	0.001220	0.000891	0.001549
2020.08.26 12:42:29.578	0.964212	0.976372	0.959282	0.961254	0.959282	0.001549	0.001549	0.001220
