Scaling equations	6.4547*x-6.1745	4.3504*x-4.1755	5.6665*x-5.4268	6.4825*x-6.1940	4.3471*x-4.1302	6.3983*x-6.2383	x	x
Timestamp	Analog channel 0 (RV.009 - 133148)	Analog channel 1 (RV.004 - 99871)	Analog channel 2 (RV.011 - 90471)	Analog channel 3 (RV.010 - 133149)	Analog channel 4 (RV.005 - 99875)	Analog channel 5 (RV.008 - 133147)	Analog channel 6	Analog channel 7
2020.08.26 22:42:18.078	0.964212	0.974072	0.960268	0.968813	0.959282	-0.000423	-0.000423	-0.000423
2020.08.26 22:42:18.328	0.962897	0.973743	0.968813	0.970128	0.958624	-0.000752	-0.000423	-0.000752
2020.08.26 22:42:18.578	0.962897	0.970785	0.963226	0.971771	0.959282	-0.000423	-0.000423	-0.000752
2020.08.26 22:42:18.828	0.961254	0.977358	0.970128	0.965855	0.961911	-0.000752	-0.000423	-0.000423
2020.08.26 22:42:19.078	0.961911	0.972100	0.965526	0.974729	0.958296	-0.000095	-0.000752	-0.000423
2020.08.26 22:42:19.328	0.963554	0.973414	0.968813	0.975715	0.964212	-0.000423	-0.000423	-0.000752
2020.08.26 22:42:19.578	0.962568	0.971442	0.965526	0.974729	0.964869	-0.000752	-0.000423	-0.000752
2020.08.26 22:42:19.828	0.960268	0.973086	0.966512	0.978016	0.960925	-0.000752	-0.000752	-0.001081
2020.08.26 22:42:20.078	0.961582	0.967170	0.962240	0.972428	0.957967	-0.000752	-0.000752	-0.000095
2020.08.26 22:42:20.328	0.962568	0.972100	0.962568	0.975386	0.961254	-0.000752	-0.000423	-0.000095
2020.08.26 22:42:20.578	0.961254	0.966841	0.963883	0.974072	0.957310	-0.000752	-0.000752	-0.000423
2020.08.26 22:42:20.828	0.961911	0.970456	0.963554	0.975715	0.959282	-0.000752	-0.000752	-0.000423
2020.08.26 22:42:21.078	0.962240	0.955666	0.961911	0.970128	0.961582	-0.000752	-0.000423	-0.000752
2020.08.26 22:42:21.328	0.962240	0.967498	0.964540	0.972757	0.961911	-0.000423	-0.000423	-0.000423
2020.08.26 22:42:21.578	0.961582	0.964540	0.961582	0.969470	0.957310	-0.000752	-0.000423	-0.000423
2020.08.26 22:42:21.828	0.962240	0.969470	0.962897	0.967498	0.958624	-0.000095	-0.000423	-0.000423
2020.08.26 22:42:22.078	0.963883	0.965855	0.962240	0.967498	0.953694	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:22.328	0.963226	0.965198	0.963226	0.965526	0.961582	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:22.578	0.957310	0.969142	0.961911	0.966184	0.957638	-0.000423	-0.000423	-0.000423
2020.08.26 22:42:22.828	0.965526	0.973086	0.966184	0.967498	0.955995	-0.000752	-0.000752	-0.001081
2020.08.26 22:42:23.078	0.958624	0.966184	0.962240	0.964869	0.960596	-0.000095	-0.000423	-0.000752
2020.08.26 22:42:23.328	0.960596	0.979330	0.965526	0.970128	0.961254	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:23.578	0.962897	0.966841	0.963554	0.965855	0.957967	-0.000095	-0.000752	-0.000423
2020.08.26 22:42:23.828	0.962240	0.976701	0.966841	0.969142	0.960925	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:24.078	0.958624	0.969470	0.962897	0.970456	0.956981	-0.000752	-0.000423	-0.000423
2020.08.26 22:42:24.328	0.964212	0.969799	0.966841	0.974729	0.963554	-0.000095	-0.000095	-0.000752
2020.08.26 22:42:24.578	0.959282	0.969142	0.963883	0.969470	0.964869	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:24.828	0.959610	0.966841	0.968813	0.977687	0.962240	-0.000423	-0.000752	-0.000423
2020.08.26 22:42:25.078	0.960268	0.967498	0.964540	0.975058	0.959282	-0.000423	-0.000423	-0.000752
2020.08.26 22:42:25.328	0.965198	0.963554	0.965198	0.972757	0.964869	-0.000752	-0.000752	-0.001081
2020.08.26 22:42:25.578	0.961254	0.973743	0.965855	0.973086	0.959939	-0.000752	-0.000752	-0.000423
2020.08.26 22:42:25.828	0.960925	0.974400	0.964540	0.973414	0.961254	-0.000752	-0.000423	-0.000423
2020.08.26 22:42:26.078	0.960596	0.963554	0.963226	0.973086	0.955666	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:26.328	0.962568	0.981631	0.963554	0.970456	0.957638	-0.000095	-0.001081	-0.000752
2020.08.26 22:42:26.578	0.961254	0.974072	0.961582	0.972428	0.957638	-0.000423	-0.000423	-0.000752
2020.08.26 22:42:26.828	0.959282	0.967827	0.962897	0.970456	0.958953	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:27.078	0.964212	0.968156	0.962240	0.963226	0.957638	-0.000752	-0.001081	-0.000423
2020.08.26 22:42:27.328	0.963883	0.967170	0.964212	0.965855	0.956981	-0.000752	-0.000752	-0.000423
2020.08.26 22:42:27.578	0.961911	0.963883	0.962240	0.969470	0.956981	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:27.828	0.961911	0.970128	0.963554	0.969470	0.955995	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:28.078	0.964212	0.973743	0.961254	0.969470	0.955338	-0.000423	-0.000752	-0.000423
2020.08.26 22:42:28.328	0.966512	0.977687	0.963226	0.971114	0.958953	-0.000752	-0.001081	-0.000752
2020.08.26 22:42:28.578	0.961582	0.965198	0.961254	0.969470	0.955666	-0.000752	-0.001081	-0.000423
2020.08.26 22:42:28.828	0.963226	0.969799	0.965855	0.966512	0.960596	-0.000752	-0.000423	-0.000752
2020.08.26 22:42:29.078	0.963226	0.974400	0.966184	0.968156	0.961254	-0.000095	-0.000752	-0.000095
2020.08.26 22:42:29.328	0.963226	0.974072	0.968813	0.969470	0.962568	-0.000423	-0.000752	-0.000752
2020.08.26 22:42:29.578	0.963226	0.969799	0.965198	0.967827	0.961254	-0.000095	-0.000095	-0.000752
2020.08.26 22:42:29.828	0.955338	0.968813	0.966184	0.972100	0.960925	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:30.078	0.957967	0.974072	0.963554	0.975058	0.958296	-0.000752	-0.000752	-0.000752
2020.08.26 22:42:30.328	0.963226	0.966184	0.965855	0.974729	0.958953	-0.000423	-0.000423	-0.001081
