Scaling equations	6.4547*x-6.1745	4.3504*x-4.1755	5.6665*x-5.4268	6.4825*x-6.1940	4.3471*x-4.1302	6.3983*x-6.2383	x	x
Timestamp	Analog channel 0 (RV.009 - 133148)	Analog channel 1 (RV.004 - 99871)	Analog channel 2 (RV.011 - 90471)	Analog channel 3 (RV.010 - 133149)	Analog channel 4 (RV.005 - 99875)	Analog channel 5 (RV.008 - 133147)	Analog channel 6	Analog channel 7
2020.08.26 00:42:18.578	0.962240	0.978016	0.969142	0.963883	0.969470	-0.000423	-0.000095	-0.000752
2020.08.26 00:42:18.828	0.965198	0.981631	0.968813	0.959939	0.970785	-0.000752	-0.000752	-0.000423
2020.08.26 00:42:19.078	0.965198	0.992148	0.969142	0.961582	0.976372	-0.001081	-0.000423	-0.000423
2020.08.26 00:42:19.328	0.965855	0.986561	0.967170	0.958624	0.975715	-0.000423	-0.000752	-0.000423
2020.08.26 00:42:19.578	0.965198	0.978344	0.966841	0.961582	0.974072	-0.000095	-0.000423	-0.000752
2020.08.26 00:42:19.828	0.960596	0.979988	0.969142	0.957967	0.971114	-0.000423	-0.000752	-0.000423
2020.08.26 00:42:20.078	0.964869	0.980645	0.971771	0.961911	0.973414	-0.000423	-0.000423	-0.000423
2020.08.26 00:42:20.328	0.960925	0.971114	0.970128	0.960925	0.969470	-0.000752	-0.000423	-0.000423
2020.08.26 00:42:20.578	0.963226	0.978673	0.967170	0.960268	0.974400	-0.000423	-0.000423	-0.000423
2020.08.26 00:42:20.828	0.964540	0.986890	0.966184	0.958624	0.973414	-0.000423	-0.000752	-0.000752
2020.08.26 00:42:21.078	0.964540	0.967498	0.965198	0.962240	0.967827	-0.000752	-0.000752	-0.000423
2020.08.26 00:42:21.328	0.960596	0.970128	0.963883	0.960268	0.963883	-0.000423	-0.000752	-0.000752
2020.08.26 00:42:21.578	0.961254	0.980645	0.965526	0.963226	0.963883	-0.000423	-0.000423	-0.000752
2020.08.26 00:42:21.828	0.964540	0.974729	0.966512	0.961911	0.962240	-0.000423	-0.000752	-0.000423
2020.08.26 00:42:22.078	0.961911	0.978673	0.967827	0.962897	0.967827	-0.000423	-0.000095	-0.000423
2020.08.26 00:42:22.328	0.961254	0.979988	0.967827	0.961254	0.976701	-0.000423	-0.000423	-0.000752
2020.08.26 00:42:22.578	0.963554	0.977030	0.969470	0.957310	0.983274	-0.000752	-0.000752	-0.000423
2020.08.26 00:42:22.828	0.960925	0.976372	0.969799	0.958953	0.985246	-0.000423	-0.000423	-0.001409
2020.08.26 00:42:23.078	0.962897	0.979002	0.972428	0.956652	0.984589	-0.000423	-0.000095	-0.000752
2020.08.26 00:42:23.328	0.959610	0.988533	0.971114	0.958296	0.978344	-0.000752	-0.000752	-0.000095
2020.08.26 00:42:23.578	0.963883	0.988862	0.972100	0.962240	0.969470	-0.001081	-0.000752	-0.000095
2020.08.26 00:42:23.828	0.964869	0.984260	0.966184	0.960268	0.968156	-0.000423	-0.000423	-0.000423
2020.08.26 00:42:24.078	0.963226	0.987547	0.966184	0.963226	0.970456	-0.000423	-0.000752	-0.000095
2020.08.26 00:42:24.328	0.962240	0.982946	0.965855	0.960925	0.971771	-0.000423	-0.000752	-0.000095
2020.08.26 00:42:24.578	0.968484	0.978016	0.966512	0.962897	0.969799	-0.000423	-0.000423	-0.000752
