O2 Optode #578																					
Record Time	Record Number	Sensor Status	O2Concentration [uM]	Status	AirSaturation [%]	Status	Temperature [Deg.C]	Status	CalPhase [Deg]	Status	TCPhase [Deg]	Status	C1RPh [Deg]	Status	C2RPh [Deg]	Status	C1Amp [mV]	Status	C2Amp [mV]	Status	RawTemp [mV]	Status	
2020-08-12 08.50.19	31	(0) OK	2.468506E+02		7.779765E+01		1.465591E+01		3.375116E+01		3.375116E+01		4.089581E+01		7.144653E+00		7.815823E+02		7.537531E+02		3.013494E+02		
2020-08-12 08.51.19	32	(0) OK	2.468871E+02		7.780524E+01		1.465360E+01		3.375045E+01		3.375045E+01		4.089142E+01		7.140968E+00		7.817211E+02		7.537699E+02		3.014258E+02		
2020-08-12 08.52.19	33	(0) OK	2.466910E+02		7.775566E+01		1.466083E+01		3.375657E+01		3.375657E+01		4.089618E+01		7.139610E+00		7.816203E+02		7.537449E+02		3.011868E+02		
2020-08-12 08.53.19	34	(0) OK	2.466158E+02		7.772398E+01		1.465609E+01		3.376226E+01		3.376226E+01		4.090524E+01		7.142982E+00		7.816279E+02		7.537571E+02		3.013435E+02		
2020-08-12 08.54.19	35	(0) OK	2.472664E+02		7.792974E+01		1.465652E+01		3.373111E+01		3.373111E+01		4.087271E+01		7.141602E+00		7.809189E+02		7.536039E+02		3.013293E+02		
2020-08-12 08.55.19	36	(0) OK	2.477590E+02		7.807258E+01		1.464921E+01		3.371098E+01		3.371098E+01		4.085347E+01		7.142487E+00		7.798948E+02		7.537471E+02		3.015710E+02		
2020-08-12 08.56.19	37	(0) OK	2.485169E+02		7.832220E+01		1.465553E+01		3.367230E+01		3.367230E+01		4.081612E+01		7.143814E+00		7.793693E+02		7.536575E+02		3.013619E+02		
2020-08-12 08.57.19	38	(0) OK	2.480725E+02		7.820302E+01		1.466780E+01		3.368785E+01		3.368785E+01		4.082469E+01		7.136841E+00		7.791568E+02		7.536669E+02		3.009563E+02		
2020-08-12 08.58.19	39	(0) OK	2.480284E+02		7.818287E+01		1.466417E+01		3.369156E+01		3.369156E+01		4.083540E+01		7.143845E+00		7.790848E+02		7.536430E+02		3.010765E+02		
2020-08-12 08.59.19	40	(0) OK	2.484132E+02		7.828135E+01		1.465075E+01		3.367934E+01		3.367934E+01		4.081635E+01		7.137009E+00		7.788864E+02		7.536909E+02		3.015202E+02		
2020-08-12 09.00.19	41	(0) OK	2.493095E+02		7.856531E+01		1.465165E+01		3.363666E+01		3.363666E+01		4.078313E+01		7.146469E+00		7.783117E+02		7.536415E+02		3.014902E+02		
2020-08-12 09.01.19	42	(0) OK	2.493936E+02		7.859927E+01		1.465602E+01		3.363076E+01		3.363076E+01		4.077084E+01		7.140083E+00		7.776630E+02		7.535847E+02		3.013460E+02		
2020-08-12 09.02.19	43	(0) OK	2.492136E+02		7.855098E+01		1.466096E+01		3.363703E+01		3.363703E+01		4.077963E+01		7.142601E+00		7.780446E+02		7.536566E+02		3.011825E+02		
2020-08-12 09.03.19	44	(0) OK	2.485868E+02		7.835552E+01		1.466218E+01		3.366604E+01		3.366604E+01		4.080742E+01		7.141380E+00		7.787217E+02		7.537277E+02		3.011422E+02		
2020-08-12 09.04.19	45	(0) OK	2.488398E+02		7.842184E+01		1.465430E+01		3.365761E+01		3.365761E+01		4.079352E+01		7.135910E+00		7.788638E+02		7.537084E+02		3.014028E+02		
2020-08-12 09.05.19	46	(0) OK	2.489094E+02		7.845710E+01		1.466211E+01		3.365085E+01		3.365085E+01		4.078679E+01		7.135941E+00		7.782928E+02		7.536436E+02		3.011445E+02		
2020-08-12 09.06.19	47	(0) OK	2.491297E+02		7.851845E+01		1.465737E+01		3.364258E+01		3.364258E+01		4.078517E+01		7.142593E+00		7.785618E+02		7.536277E+02		3.013011E+02		
2020-08-12 09.07.19	48	(0) OK	2.488395E+02		7.842288E+01		1.465497E+01		3.365733E+01		3.365733E+01		4.080276E+01		7.145439E+00		7.787183E+02		7.536384E+02		3.013805E+02		
2020-08-12 09.08.19	49	(0) OK	2.489647E+02		7.847063E+01		1.465981E+01		3.364926E+01		3.364926E+01		4.079405E+01		7.144791E+00		7.786421E+02		7.536752E+02		3.012204E+02		
2020-08-12 09.09.19	50	(0) OK	2.486751E+02		7.837631E+01		1.465805E+01		3.366371E+01		3.366371E+01		4.080298E+01		7.139267E+00		7.787983E+02		7.536035E+02		3.012786E+02		
2020-08-12 09.10.19	51	(0) OK	2.485623E+02		7.832761E+01		1.465034E+01		3.367247E+01		3.367247E+01		4.080589E+01		7.133423E+00		7.786600E+02		7.535515E+02		3.015335E+02		
2020-08-12 09.11.19	52	(0) OK	2.489413E+02		7.844582E+01		1.464963E+01		3.365491E+01		3.365491E+01		4.079619E+01		7.141281E+00		7.785751E+02		7.535910E+02		3.015573E+02		
2020-08-12 09.12.19	53	(0) OK	2.489371E+02		7.844707E+01		1.465113E+01		3.365443E+01		3.365443E+01		4.079425E+01		7.139816E+00		7.785126E+02		7.536061E+02		3.015076E+02		
2020-08-12 09.13.19	54	(0) OK	2.487437E+02		7.838191E+01		1.464866E+01		3.366466E+01		3.366466E+01		4.080519E+01		7.140533E+00		7.786873E+02		7.536359E+02		3.015893E+02		
2020-08-12 09.14.19	55	(0) OK	2.490381E+02		7.846625E+01		1.464370E+01		3.365298E+01		3.365298E+01		4.078812E+01		7.135139E+00		7.782012E+02		7.535563E+02		3.017531E+02		
2020-08-12 09.15.19	56	(0) OK	2.488264E+02		7.840465E+01		1.464670E+01		3.366163E+01		3.366163E+01		4.080183E+01		7.140205E+00		7.788107E+02		7.536216E+02		3.016541E+02		
2020-08-12 09.16.19	57	(0) OK	2.486180E+02		7.835743E+01		1.465755E+01		3.366663E+01		3.366663E+01		4.081897E+01		7.152336E+00		7.787850E+02		7.535480E+02		3.012954E+02		
2020-08-12 09.17.19	58	(0) OK	2.477972E+02		7.812048E+01		1.467031E+01		3.369978E+01		3.369978E+01		4.083696E+01		7.137184E+00		7.800255E+02		7.536614E+02		3.008735E+02		
2020-08-12 09.18.19	59	(0) OK	2.469726E+02		7.787142E+01		1.467675E+01		3.373606E+01		3.373606E+01		4.087482E+01		7.138756E+00		7.809119E+02		7.535080E+02		3.006605E+02		
2020-08-12 09.19.19	60	(0) OK	2.466169E+02		7.775967E+01		1.467701E+01		3.375288E+01		3.375288E+01		4.089799E+01		7.145111E+00		7.815096E+02		7.536674E+02		3.006520E+02		
2020-08-12 09.20.19	61	(0) OK	2.463125E+02		7.765298E+01		1.467067E+01		3.377023E+01		3.377023E+01		4.090968E+01		7.139458E+00		7.817078E+02		7.534537E+02		3.008615E+02		
2020-08-12 09.21.19	62	(0) OK	2.462151E+02		7.764294E+01		1.468289E+01		3.376942E+01		3.376942E+01		4.090796E+01		7.138535E+00		7.818402E+02		7.535634E+02		3.004577E+02		
2020-08-12 09.22.19	63	(0) OK	2.460571E+02		7.760551E+01		1.469023E+01		3.377370E+01		3.377370E+01		4.091417E+01		7.140472E+00		7.822421E+02		7.536243E+02		3.002148E+02		
2020-08-12 09.23.19	64	(0) OK	2.458445E+02		7.752419E+01		1.468180E+01		3.378763E+01		3.378763E+01		4.093034E+01		7.142715E+00		7.824479E+02		7.535536E+02		3.004937E+02		
2020-08-12 09.24.19	65	(0) OK	2.453468E+02		7.738728E+01		1.469371E+01		3.380614E+01		3.380614E+01		4.095023E+01		7.144081E+00		7.833768E+02		7.535782E+02		3.000999E+02		
2020-08-12 09.25.19	66	(0) OK	2.443898E+02		7.707994E+01		1.469042E+01		3.385359E+01		3.385359E+01		4.099019E+01		7.136597E+00		7.843519E+02		7.535585E+02		3.002085E+02		
2020-08-12 09.26.19	67	(0) OK	2.439827E+02		7.694119E+01		1.468425E+01		3.387598E+01		3.387598E+01		4.101138E+01		7.135406E+00		7.850212E+02		7.536115E+02		3.004127E+02		
2020-08-12 09.27.19	68	(0) OK	2.453281E+02		7.734261E+01		1.467065E+01		3.381733E+01		3.381733E+01		4.096437E+01		7.147041E+00		7.839858E+02		7.534049E+02		3.008623E+02		
2020-08-12 09.28.19	69	(0) OK	2.461410E+02		7.758311E+01		1.466129E+01		3.378260E+01		3.378260E+01		4.091783E+01		7.135231E+00		7.820786E+02		7.534397E+02		3.011716E+02		
2020-08-12 09.29.19	70	(0) OK	2.468796E+02		7.781268E+01		1.465939E+01		3.374823E+01		3.374823E+01		4.088126E+01		7.133026E+00		7.808099E+02		7.533918E+02		3.012346E+02		
2020-08-12 09.30.19	71	(0) OK	2.473677E+02		7.796493E+01		1.465844E+01		3.372544E+01		3.372544E+01		4.086899E+01		7.143547E+00		7.804119E+02		7.533425E+02		3.012658E+02		
2020-08-12 09.31.19	72	(0) OK	2.474433E+02		7.798664E+01		1.465719E+01		3.372240E+01		3.372240E+01		4.086414E+01		7.141731E+00		7.802690E+02		7.535352E+02		3.013070E+02		
2020-08-12 09.32.19	73	(0) OK	2.470118E+02		7.786219E+01		1.466399E+01		3.373988E+01		3.373988E+01		4.088260E+01		7.142715E+00		7.810795E+02		7.534279E+02		3.010824E+02		
2020-08-12 09.33.19	74	(0) OK	2.464237E+02		7.767693E+01		1.466410E+01		3.376785E+01		3.376785E+01		4.090935E+01		7.141495E+00		7.818220E+02		7.534778E+02		3.010788E+02		
2020-08-12 09.34.19	75	(0) OK	2.475214E+02		7.800545E+01		1.465378E+01		3.372022E+01		3.372022E+01		4.086018E+01		7.139961E+00		7.808373E+02		7.535351E+02		3.014200E+02		
2020-08-12 09.35.19	76	(0) OK	2.473429E+02		7.793749E+01		1.464688E+01		3.373177E+01		3.373177E+01		4.087224E+01		7.140465E+00		7.804419E+02		7.535630E+02		3.016480E+02		
2020-08-12 09.36.19	77	(0) OK	2.481602E+02		7.818414E+01		1.464049E+01		3.369587E+01		3.369587E+01		4.083051E+01		7.134636E+00		7.794583E+02		7.536123E+02		3.018594E+02		
2020-08-12 09.37.19	78	(0) OK	2.487017E+02		7.837654E+01		1.465326E+01		3.366459E+01		3.366459E+01		4.079713E+01		7.132545E+00		7.791783E+02		7.535751E+02		3.014370E+02		
2020-08-12 09.38.19	79	(0) OK	2.469262E+02		7.781835E+01		1.465406E+01		3.374838E+01		3.374838E+01		4.088960E+01		7.141220E+00		7.811062E+02		7.536853E+02		3.014106E+02		
2020-08-12 09.39.19	80	(0) OK	2.473907E+02		7.794305E+01		1.464125E+01		3.373201E+01		3.373201E+01		4.087151E+01		7.139496E+00		7.805905E+02		7.536089E+02		3.018340E+02		
2020-08-12 09.40.19	81	(0) OK	2.480037E+02		7.812644E+01		1.463552E+01		3.370549E+01		3.370549E+01		4.084012E+01		7.134628E+00		7.796761E+02		7.535051E+02		3.020235E+02		
2020-08-12 09.41.19	82	(0) OK	2.477829E+02		7.809646E+01		1.465885E+01		3.370556E+01		3.370556E+01		4.083881E+01		7.133247E+00		7.800801E+02		7.537531E+02		3.012523E+02		
2020-08-12 09.42.19	83	(0) OK	2.471500E+02		7.785962E+01		1.463678E+01		3.374545E+01		3.374545E+01		4.088722E+01		7.141777E+00		7.815534E+02		7.536843E+02		3.019820E+02		
2020-08-12 09.43.19	84	(0) OK	2.471677E+02		7.785033E+01		1.462801E+01		3.374851E+01		3.374851E+01		4.088443E+01		7.135918E+00		7.810972E+02		7.536460E+02		3.022718E+02		
2020-08-12 09.44.19	85	(0) OK	2.482105E+02		7.817740E+01		1.462718E+01		3.369942E+01		3.369942E+01		4.084149E+01		7.142075E+00		7.795828E+02		7.537068E+02		3.022992E+02		
2020-08-12 09.45.19	86	(0) OK	2.481849E+02		7.817583E+01		1.463100E+01		3.369893E+01		3.369893E+01		4.084450E+01		7.145569E+00		7.795856E+02		7.535608E+02		3.021730E+02		
2020-08-12 09.46.19	87	(0) OK	2.482501E+02		7.816354E+01		1.461172E+01		3.370444E+01		3.370444E+01		4.084216E+01		7.137726E+00		7.795701E+02		7.536877E+02		3.028103E+02		
2020-08-12 09.47.19	88	(0) OK	2.505395E+02		7.885674E+01		1.459563E+01		3.360386E+01		3.360386E+01		4.074516E+01		7.141304E+00		7.768521E+02		7.536780E+02		3.033420E+02		
2020-08-12 09.48.19	89	(0) OK	2.522804E+02		7.942316E+01		1.460632E+01		3.351794E+01		3.351794E+01		4.065356E+01		7.135620E+00		7.737341E+02		7.536651E+02		3.029888E+02		
2020-08-12 09.49.19	90	(0) OK	2.517420E+02		7.925536E+01		1.460731E+01		3.354253E+01		3.354253E+01		4.067715E+01		7.134621E+00		7.747967E+02		7.537817E+02		3.029562E+02		
2020-08-12 09.50.19	91	(0) OK	2.517341E+02		7.924850E+01		1.460476E+01		3.354404E+01		3.354404E+01		4.067686E+01		7.132828E+00		7.744683E+02		7.537802E+02		3.030404E+02		
2020-08-12 09.51.19	92	(0) OK	2.520588E+02		7.936364E+01		1.461224E+01		3.352560E+01		3.352560E+01		4.066859E+01		7.142990E+00		7.744095E+02		7.537995E+02		3.027930E+02		
