TIMESTAMP (ISO-8601) UTC;airHumidity %;airPressure hPa;airTemperature C;conductivity1m mS/cm;currentDirection05m deg;currentDirection08m deg;currentDirection11m deg;currentDirection14m deg;currentDirection17m deg;currentDirection20m deg;currentDirection23m deg;currentDirection26m deg;currentDirection29m deg;currentDirection32m deg;currentDirection35m deg;currentDirection38m deg;currentDirection41m deg;currentDirection44m deg;currentDirection47m deg;currentDirection50m deg;currentDirection53m deg;currentDirection56m deg;currentDirection59m deg;currentDirection62m deg;currentSpeed05m cm/s;currentSpeed08m cm/s;currentSpeed11m cm/s;currentSpeed14m cm/s;currentSpeed17m cm/s;currentSpeed20m cm/s;currentSpeed23m cm/s;currentSpeed26m cm/s;currentSpeed29m cm/s;currentSpeed32m cm/s;currentSpeed35m cm/s;currentSpeed38m cm/s;currentSpeed41m cm/s;currentSpeed44m cm/s;currentSpeed47m cm/s;currentSpeed50m cm/s;currentSpeed53m cm/s;currentSpeed56m cm/s;currentSpeed59m cm/s;currentSpeed62m cm/s;salinity1m ppt;temperature1m degC;waterTempNortek degC;WindDir deg;WindGust m/s;WindSpeed m/s
2020-07-27T05:00:00Z;95.97656;1005.66406;13.06641;37.33521;72.07031;70.66406;352.96875;323.43750;311.48438;340.31250;336.79688;344.53125;336.79688;293.55469;310.78125;325.89844;328.71094;322.73438;330.82031;339.60938;338.90625;317.81250;334.33594;332.92969;19.33594;8.78906;11.42578;5.85938;12.01172;5.85938;1.46484;8.78906;6.44531;4.10156;5.85938;9.66797;6.73828;14.64844;12.59766;8.20313;10.25391;9.66797;8.49609;5.85938;31.51001;13.06152;13.01758;220.07813;6.67969;5.39063
2020-07-27T05:30:00Z;95.39063;1005.95703;13.06641;37.42676;65.74219;50.97656;352.26563;302.69531;301.64063;318.16406;309.72656;310.42969;281.25000;268.59375;282.65625;275.62500;322.73438;318.86719;306.56250;293.90625;313.24219;280.19531;318.51563;344.53125;20.21484;8.78906;3.80859;8.20313;5.85938;4.10156;4.68750;4.68750;4.98047;4.10156;7.91016;6.15234;6.15234;8.49609;6.73828;5.56641;8.78906;10.25391;7.32422;7.03125;31.67480;12.97363;13.00659;207.07031;6.26953;5.09766
2020-07-27T06:00:00Z;94.92188;1006.29883;13.06641;37.35352;103.35938;118.82813;64.68750;322.38281;1.40625;346.28906;277.73438;247.50000;199.33594;241.17188;228.86719;262.26563;15.46875;340.31250;342.77344;311.48438;288.28125;355.78125;355.78125;6.67969;21.38672;15.52734;4.68750;3.22266;4.39453;6.15234;3.51563;4.39453;3.51563;3.51563;3.22266;1.46484;1.75781;5.85938;4.39453;5.85938;4.10156;5.27344;9.37500;9.37500;31.54053;13.05054;12.99561;191.60156;5.44922;4.33594
2020-07-27T06:30:00Z;94.21875;1006.78711;13.20313;37.46338;198.98438;201.44531;56.25000;101.95313;85.42969;353.67188;336.79688;1.40625;82.26563;342.07031;351.21094;303.04688;338.20313;338.55469;337.50000;334.68750;326.25000;22.50000;349.80469;99.84375;15.23438;9.66797;1.17188;9.08203;2.63672;7.91016;5.56641;6.15234;2.92969;3.80859;4.68750;4.39453;4.39453;5.56641;7.03125;5.85938;8.20313;5.85938;2.34375;4.10156;31.59546;13.10547;13.02856;183.16406;4.92188;4.04297
2020-07-27T07:00:00Z;93.63281;1007.08008;13.40820;37.51831;216.21094;225.70313;223.24219;174.02344;120.58594;287.57813;323.78906;322.38281;259.45313;280.54688;287.22656;276.67969;273.51563;248.90625;280.89844;275.62500;264.72656;281.60156;248.90625;188.43750;24.60938;24.02344;14.06250;3.80859;4.39453;2.63672;4.68750;4.68750;3.80859;3.80859;1.46484;5.27344;4.98047;2.05078;4.10156;7.03125;7.61719;4.39453;3.80859;5.56641;31.53442;13.24829;13.10547;181.05469;4.27734;3.57422
2020-07-27T07:30:00Z;93.39844;1007.47070;13.40820;37.59155;222.53906;225.35156;224.64844;220.42969;108.28125;100.54688;90.00000;306.56250;288.28125;247.14844;211.64063;180.00000;277.38281;270.00000;266.48438;239.06250;225.00000;296.01563;239.41406;237.30469;24.31641;24.02344;16.40625;10.54688;1.46484;2.63672;1.17188;3.22266;4.10156;5.56641;5.27344;3.80859;5.27344;2.05078;3.51563;5.56641;2.92969;3.80859;3.80859;4.39453;31.55273;13.30322;13.21533;187.73438;5.03906;3.98438
2020-07-27T08:00:00Z;92.10938;1007.95898;13.61328;37.63733;203.90625;215.15625;217.26563;211.99219;196.87500;90.00000;143.78906;190.19531;161.71875;194.06250;348.75000;150.46875;260.15625;259.45313;180.00000;281.60156;254.17969;256.99219;281.60156;206.01563;22.85156;24.90234;14.94141;16.69922;3.51563;7.03125;6.44531;3.51563;1.17188;2.05078;0.87891;2.63672;2.92969;8.78906;1.46484;4.10156;6.44531;7.61719;5.85938;5.85938;31.58936;13.30322;13.24829;174.37500;5.15625;4.04297
2020-07-27T08:30:00Z;91.05469;1008.34961;13.68164;37.64648;213.04688;214.80469;225.35156;204.60938;202.14844;125.85938;121.64063;98.08594;122.69531;151.52344;236.25000;160.31250;174.37500;234.49219;229.92188;278.43750;326.25000;275.97656;272.81250;265.07813;25.48828;27.83203;21.67969;16.11328;4.98047;5.27344;8.78906;4.10156;5.27344;3.80859;1.17188;1.46484;7.61719;3.80859;5.85938;2.63672;5.27344;4.68750;4.10156;4.68750;31.59546;13.30322;13.29224;185.97656;6.38672;4.57031
2020-07-27T09:00:00Z;93.04688;1008.39844;13.61328;37.66479;203.55469;207.07031;201.44531;190.19531;189.84375;104.76563;97.38281;102.30469;110.74219;135.00000;109.68750;125.50781;71.71875;170.15625;199.33594;235.54688;291.09375;278.78906;218.67188;253.47656;28.12500;29.88281;20.80078;16.11328;8.78906;6.73828;8.49609;2.34375;8.20313;3.22266;2.92969;5.56641;13.18359;1.75781;4.68750;5.56641;3.80859;6.44531;3.22266;4.68750;31.61377;13.31421;13.29224;184.92188;6.44531;4.80469
2020-07-27T09:30:00Z;93.75000;1008.78906;13.47656;37.67395;200.39063;202.14844;195.11719;194.06250;172.26563;92.81250;100.19531;136.05469;112.50000;119.17969;158.20313;139.21875;141.32813;157.85156;207.77344;253.47656;268.94531;325.54688;254.53125;238.71094;29.58984;29.88281;19.92188;11.71875;5.27344;7.91016;9.66797;7.03125;7.61719;3.80859;6.73828;5.85938;6.73828;3.51563;6.44531;5.27344;5.85938;2.63672;1.75781;3.22266;31.60767;13.32520;13.30322;185.97656;5.39063;4.45313
